# obs_wvl flux error
2.967000000000000000e+03 3.828455090383771353e-15 1.805716271901505396e-15
2.969746709400451891e+03 2.783976672197011282e-15 1.402175768826980608e-15
2.972493418800903783e+03 1.253158537763383402e-15 1.330106067480634205e-15
2.975240128201355674e+03 -3.435964885825495243e-16 1.309197639550916559e-15
2.977986837601807565e+03 4.155191424105225958e-15 1.295906959170568712e-15
2.980733547002259456e+03 7.411655391121975035e-15 1.856956990205645639e-15
2.983480256402711348e+03 3.196035487520565196e-16 1.326278920568778105e-15
2.986226965803163239e+03 -1.890694045133820810e-15 1.172698392249895395e-15
2.988973675203615130e+03 1.287757900148410008e-15 1.173285574227916971e-15
2.991720384604067021e+03 3.957297404114130015e-15 1.175254297140827421e-15
2.994467094004518913e+03 -4.218654102790325050e-16 1.123164274694709757e-15
2.997213803404970804e+03 -5.489792565156085146e-16 1.115470617362606115e-15
2.999960512805422695e+03 4.189061064082444406e-15 1.190612207114873009e-15
3.002707222205874587e+03 2.140802669629948416e-15 1.667895582124503936e-15
3.005453931606326478e+03 -8.000156301166224641e-16 1.125519490780677349e-15
3.008200641006778369e+03 2.175816946173466964e-15 1.089862256841233215e-15
3.010947350407230260e+03 4.182977001013279734e-15 1.088156715132316345e-15
3.013694059807682152e+03 3.599628002895407501e-15 1.321386068475881365e-15
3.016440769208134043e+03 1.746709251288434116e-16 1.037420492620615564e-15
3.019187478608585934e+03 2.516369228223102294e-15 1.033684157400810510e-15
3.021934188009037825e+03 4.379338565677377647e-15 1.024364325594107275e-15
3.024680897409489717e+03 -8.301186273126913067e-16 1.011783961943433310e-15
3.027427606809941608e+03 2.037397072339088614e-15 9.824002120130100420e-16
3.030174316210393499e+03 3.913308992422127857e-15 1.109857330520373221e-15
3.032921025610845390e+03 4.313667093882404458e-15 1.055995601914905815e-15
3.035667735011297282e+03 1.747921521175046119e-15 1.000528699149250735e-15
3.038414444411749173e+03 1.697412929447960040e-15 9.427227349310836949e-16
3.041161153812201064e+03 3.642968367617589981e-15 9.091915146403934292e-16
3.043907863212652956e+03 2.100092776794390018e-15 8.643882944827837828e-16
3.046654572613104847e+03 9.288693181409409749e-16 8.547733293419262923e-16
3.049401282013556738e+03 2.133233134245285316e-15 8.423717838184609915e-16
3.052147991414008629e+03 4.358507513949278641e-15 8.527882521663437051e-16
3.054894700814460521e+03 2.595230532620825556e-15 8.706766290908080224e-16
3.057641410214912412e+03 1.326518055223470551e-15 8.628306449794260566e-16
3.060388119615364303e+03 2.983268778630624915e-15 8.893548725521494801e-16
3.063134829015816194e+03 2.979940042358749775e-15 8.461016320296994542e-16
3.065881538416268086e+03 8.071092313230840724e-16 7.920167029605667776e-16
3.068628247816719977e+03 7.109924697457179756e-16 7.532216199095233186e-16
3.071374957217171868e+03 3.296578827929609537e-15 7.719533706055974093e-16
3.074121666617623760e+03 3.329402923680098336e-15 7.662318020421399039e-16
3.076868376018075651e+03 -5.806237346233068620e-16 7.886281806826027119e-16
3.079615085418527542e+03 2.049769707662429842e-15 8.431174161408004041e-16
3.082361794818979433e+03 5.518985729261078084e-15 9.253792525356898400e-16
3.085108504219431325e+03 2.972468231358769802e-15 7.795208459591363731e-16
3.087855213619883216e+03 1.708834021586506238e-15 7.155916168658357662e-16
