# obs_wvl flux error
1.663000000000000000e+03 -1.880391886102940972e-15 5.545546733030860545e-15
1.665745782298538643e+03 -3.819340574537727657e-15 4.411547483864781950e-15
1.668491564597077286e+03 2.875200501695474357e-16 3.526802680810343903e-15
1.671237346895615929e+03 7.239669771021155594e-15 3.565351191632385163e-15
1.673983129194154571e+03 -1.522192685010166109e-14 6.728470266212424984e-15
1.676728911492693214e+03 1.093881582481315483e-14 3.118654812774226809e-15
1.679474693791231857e+03 -1.698839897608574111e-15 2.829099421157041879e-15
1.682220476089770500e+03 1.666880418845047389e-15 2.979773958527210868e-15
1.684966258388309143e+03 -7.791215846405188836e-15 5.490819453236444303e-15
1.687712040686847786e+03 2.932362219595369754e-15 5.549766526854957594e-15
1.690457822985386429e+03 -4.770531210698316647e-15 3.654470792816658879e-15
1.693203605283925071e+03 7.742217265499020106e-16 2.339738795946577720e-15
1.695949387582463714e+03 8.077409265363660710e-15 2.122401445705197543e-15
1.698695169881002357e+03 -2.294377623697091350e-15 2.218929402581911428e-15
1.701440952179541000e+03 4.267984581973730919e-16 1.804321475772831480e-15
1.704186734478079643e+03 -9.987024490339224687e-16 1.673954091314211076e-15
1.706932516776618286e+03 8.604734481857427117e-16 1.520096802454203048e-15
1.709678299075156929e+03 4.893589015188372970e-15 1.879295172179811683e-15
1.712424081373695572e+03 1.454523442307977833e-15 2.056915495271037546e-15
1.715169863672234214e+03 3.277907390247695744e-15 1.738474769344664803e-15
1.717915645970772857e+03 2.834223877098590716e-15 1.427230243420355811e-15
1.720661428269311500e+03 1.002802388533224542e-14 3.460410211270496893e-15
1.723407210567850143e+03 -1.407496781837358498e-15 1.359668962122095250e-15
1.726152992866388786e+03 -2.549332698962832758e-15 3.617490966826022251e-15
1.728898775164927429e+03 3.099994177906462502e-17 1.180919320918214167e-15
1.731644557463466072e+03 2.624934252211120183e-15 1.301036908970732255e-15
1.734390339762004714e+03 9.303475179924212498e-16 1.283966670809220266e-15
1.737136122060543357e+03 -3.620455499224875221e-15 2.089490317387689380e-15
1.739881904359082000e+03 -3.512166214147693601e-16 2.231413584800438554e-15
