# obs_wvl flux error
2.968000000000000000e+03 1.327159385603533977e-15 2.652298650567425651e-16
2.970746694076759013e+03 1.645616217441698442e-15 2.408072738949763247e-16
2.973493388153518026e+03 1.748772501567804014e-15 2.190547294431388874e-16
2.976240082230277039e+03 1.550092345525800920e-15 2.055749303621473608e-16
2.978986776307036052e+03 8.240658384855241830e-16 2.072616433217307813e-16
2.981733470383795066e+03 2.415730108616788698e-15 2.302805172492098003e-16
2.984480164460554079e+03 1.816884603559947839e-15 2.697135788475773560e-16
2.987226858537313092e+03 1.663461879604374692e-15 2.025817760153373305e-16
2.989973552614072105e+03 1.573692560285205236e-15 1.976501899030465121e-16
2.992720246690831118e+03 2.266156505188191018e-15 2.117488242507620288e-16
2.995466940767590131e+03 1.729632914959377146e-15 1.848731247600801474e-16
2.998213634844349144e+03 1.172564814498878070e-15 1.755362270679282136e-16
3.000960328921108157e+03 1.508120728947990683e-15 2.283221156270945679e-16
3.003707022997867170e+03 2.642858473476171188e-15 4.501727857958614223e-16
3.006453717074626184e+03 1.812764661220022936e-15 1.903815706489177079e-16
3.009200411151385197e+03 9.025922514914791273e-16 1.688842718774215466e-16
3.011947105228144210e+03 1.550467342208087360e-15 1.741509472689254898e-16
3.014693799304903223e+03 7.956001388985163037e-16 4.765854877952034294e-16
3.017440493381662236e+03 1.608801788822877440e-15 1.919872154193132686e-16
3.020187187458421249e+03 2.990954376377926830e-15 4.225172773414651953e-16
3.022933881535180262e+03 1.848863881113147742e-15 1.759233076582848943e-16
3.025680575611939275e+03 1.119109153454792581e-15 2.365688116731596658e-16
3.028427269688698289e+03 1.478200352557654663e-15 1.571542989328505029e-16
3.031173963765457302e+03 1.120681689281402927e-15 1.532332591410111666e-16
3.033920657842216315e+03 1.483196981761517796e-15 1.545591465034813682e-16
3.036667351918975328e+03 1.426546904437921659e-15 1.970005889782665062e-16
3.039414045995734341e+03 6.421703907039153463e-16 2.473067850146428917e-16
3.042160740072493354e+03 1.103687104468069043e-15 1.568303507501579224e-16
3.044907434149252367e+03 1.193573109028825075e-15 1.948788061064705955e-16
3.047654128226011380e+03 1.448903858571109255e-15 1.553261704369071374e-16
3.050400822302770393e+03 1.517366657646687751e-15 1.736692616978338754e-16
3.053147516379529407e+03 1.094900888178037525e-15 1.463199816932733994e-16
3.055894210456288420e+03 1.434328600691139216e-15 1.963909588595413458e-16
3.058640904533047433e+03 1.284282389985290307e-15 1.284909728319656514e-16
3.061387598609806446e+03 1.296909490613637443e-15 1.294389966095849600e-16
3.064134292686565459e+03 1.320496498597811277e-15 1.299149653279958592e-16
3.066880986763324472e+03 5.164139379247950153e-16 2.638369431673556892e-16
3.069627680840083485e+03 9.645048254765649864e-16 1.272831371180227734e-16
3.072374374916842498e+03 9.397390012165652587e-16 1.199860472230544047e-16
3.075121068993601511e+03 1.269619586793470323e-15 1.356626891305378761e-16
3.077867763070360525e+03 1.179894967249514005e-15 1.481639647017244703e-16
3.080614457147119538e+03 9.245068152575353673e-16 2.126287340095523927e-16
3.083361151223878551e+03 1.107981140172293042e-15 1.967137577007660958e-16
3.086107845300637564e+03 1.397646586213248119e-15 1.399442826889946105e-16
3.088854539377396577e+03 1.514227727439068157e-15 1.189318990384063835e-16
3.091601233454155590e+03 1.399652272531299989e-15 1.431203635777726627e-16
3.094347927530914603e+03 9.017404529917692352e-16 1.526591688875638587e-16
3.097094621607673616e+03 1.137661088346257076e-15 1.129011349830341788e-16
3.099841315684432629e+03 1.324160481507780926e-15 1.349887301175555170e-16
3.102588009761191643e+03 1.316404543956576267e-15 1.255806233873830234e-16
3.105334703837950656e+03 5.676798044695852335e-16 2.489122493356216167e-16
3.108081397914709669e+03 1.031675304218375996e-15 2.431386631214915281e-16
3.110828091991468682e+03 1.587501351709628439e-15 1.224992312602384374e-16
3.113574786068227695e+03 1.254520462087177291e-15 1.292775751766572598e-16
3.116321480144986708e+03 1.308384502010586307e-15 1.144534132266887489e-16
3.119068174221745721e+03 3.959142905888237014e-15 1.417840352004957011e-16
