# obs_wvl flux error
1.153839999999999236e+03 8.970685829566663118e-16 2.276349692610032348e-15
1.153899999999999181e+03 2.112732475655589033e-15 1.137953867472294392e-15
1.153959999999999127e+03 1.936283530990075789e-15 1.110946116012033350e-15
1.154019999999999072e+03 2.298968893774565882e-15 1.120712086507693091e-15
1.154079999999999018e+03 3.145737656122975588e-15 1.211423892193672649e-15
1.154139999999998963e+03 3.026701359239976110e-15 1.201786430554970551e-15
1.154199999999998909e+03 2.210403291691801731e-15 1.127286235765651740e-15
1.154259999999998854e+03 2.080549000124026326e-15 1.113814393482210561e-15
1.154319999999998799e+03 1.473293695630333833e-15 1.005783368515081493e-15
1.154379999999998745e+03 2.682334085116056425e-15 1.171483107022882221e-15
1.154439999999998690e+03 7.088565388615982562e-16 9.153911137265119300e-16
1.154499999999998636e+03 2.197337131897440479e-15 1.136999626143173052e-15
1.154559999999998581e+03 3.446697868588893271e-15 1.259337582082627017e-15
1.154619999999998527e+03 2.483014931633443386e-15 1.150030953793251961e-15
1.154679999999998472e+03 2.060592917226099299e-15 1.110884739074822109e-15
1.154739999999998417e+03 3.236317413127987881e-15 1.241474419260627918e-15
1.154799999999998363e+03 3.838130265900152476e-15 1.309939309893265609e-15
1.154859999999998308e+03 2.615905367956326438e-15 1.182693641394784602e-15
1.154919999999998254e+03 2.489471944739978278e-15 1.156707732468412263e-15
1.154979999999998199e+03 3.736359372709042173e-15 1.298771915200163447e-15
1.155039999999998145e+03 3.907089691597815879e-15 1.315999574962179014e-15
1.155099999999998090e+03 2.675564741280889987e-15 1.197912681018453236e-15
1.155159999999998035e+03 2.427864806844904951e-15 1.171045933294173400e-15
1.155219999999997981e+03 1.717813426300866713e-15 1.082301145103229200e-15
1.155279999999997926e+03 2.078841038984797036e-15 1.130301683901780722e-15
1.155339999999997872e+03 2.070574588947190181e-15 1.132620817756498028e-15
1.155399999999997817e+03 2.432849722982302193e-15 1.177956095934516605e-15
1.155459999999997763e+03 2.284016800291370282e-15 1.158406303428136564e-15
1.155519999999997708e+03 3.002337213728512711e-15 1.230909569168557366e-15
1.155579999999997654e+03 2.624016231353076980e-15 1.187173998138163615e-15
1.155639999999997599e+03 2.764831566391640288e-15 1.199724432877072445e-15
1.155699999999997544e+03 2.093160595861019361e-15 1.111236467246559435e-15
1.155759999999997490e+03 3.610608882292648223e-15 1.266727544199647190e-15
1.155819999999997435e+03 5.144541171280736543e-15 1.396780037072365783e-15
1.155879999999997381e+03 5.062148401179836068e-15 1.400701578243669602e-15
1.155939999999997326e+03 3.911274032489746203e-15 1.303615521747913707e-15
1.155999999999997272e+03 4.635302324466379557e-15 1.358755243270272663e-15
1.156059999999997217e+03 4.346825732182171937e-15 1.328282269744699314e-15
1.156119999999997162e+03 3.179213019061646494e-15 1.209774731955013737e-15
1.156179999999997108e+03 3.600562046251660260e-15 1.259012597859158161e-15
1.156239999999997053e+03 3.999238877762199698e-15 1.291753056624908885e-15
1.156299999999996999e+03 2.379753004601237436e-15 1.118685576365293844e-15
1.156359999999996944e+03 1.567298466030546910e-15 1.031248170814969517e-15
1.156419999999996890e+03 1.858099187149769136e-15 1.065178596766487095e-15
1.156479999999996835e+03 2.095328033475675819e-15 1.088341478811923984e-15
1.156539999999996780e+03 2.282244470867804749e-15 1.094050710477018045e-15
1.156599999999996726e+03 3.522406769168524601e-15 1.225178337383323750e-15
1.156659999999996671e+03 2.012711099301591188e-15 1.062313406043165086e-15
1.156719999999996617e+03 2.115333315020093268e-15 1.083323023140552755e-15
1.156779999999996562e+03 2.314339704702638988e-15 1.109480871110490221e-15
1.156839999999996508e+03 1.430887100833239256e-15 1.003515977519993797e-15
1.156899999999996453e+03 1.412780332822103536e-15 9.967651029922441934e-16
1.156959999999996398e+03 2.287129105005983031e-15 1.090648555570791299e-15
1.157019999999996344e+03 2.469123462621019096e-15 1.112957351645304045e-15
1.157079999999996289e+03 2.639029409574923798e-15 1.148279930227603339e-15
1.157139999999996235e+03 3.722174469568094985e-15 1.257060965666868874e-15
1.157199999999996180e+03 3.265065487655839518e-15 1.196765734796050759e-15
1.157259999999996126e+03 2.842094767659091482e-15 1.143027812417424562e-15
1.157319999999996071e+03 3.495399812873389949e-15 1.217207209712719165e-15
1.157379999999996016e+03 2.911923392985333235e-15 1.157495475336563167e-15
1.157439999999995962e+03 2.739660557782091462e-15 1.138996656402386805e-15
1.157499999999995907e+03 3.024580602833856016e-15 1.165520792563898433e-15
1.157559999999995853e+03 3.069685626817701965e-15 1.170844507011914883e-15
1.157619999999995798e+03 3.891550710464512627e-15 1.266057104858944408e-15
1.157679999999995744e+03 3.856686779588185960e-15 1.251299137674403930e-15
1.157739999999995689e+03 3.237706783431498884e-15 1.199351868343110587e-15
1.157799999999995634e+03 4.563610726534318570e-15 1.349044292911633283e-15
1.157859999999995580e+03 4.450525533511765167e-15 1.397780431606546519e-15
1.157919999999995525e+03 4.359762192128136952e-15 1.441319207513437914e-15
1.157979999999995471e+03 4.427101260604117041e-15 1.457096478873766157e-15
1.158039999999995416e+03 3.238779815075306809e-15 1.286263755566036921e-15
1.158099999999995362e+03 4.725185764484682673e-15 1.450573773705063261e-15
1.158159999999995307e+03 2.541084231776326905e-15 1.214623108875617654e-15
1.158219999999995252e+03 4.510000762457618231e-15 1.445823522687390605e-15
1.158279999999995198e+03 3.469816478344944074e-15 1.283623198368598331e-15
1.158339999999995143e+03 2.877713648686828323e-15 1.175391937088213820e-15
1.158399999999995089e+03 3.392702370571259201e-15 1.233859417955860040e-15
1.158459999999995034e+03 2.540663388973794447e-15 1.122660083869224068e-15
1.158519999999994980e+03 3.529278399273651117e-15 1.246138318628115545e-15
1.158579999999994925e+03 4.899460649974595546e-15 1.376773938770457694e-15
1.158639999999994870e+03 3.198375036028986441e-15 1.211302924186662956e-15
1.158699999999994816e+03 3.065193433579089725e-15 1.197975383564363315e-15
1.158759999999994761e+03 2.835393451279642710e-15 1.166488487277256273e-15
1.158819999999994707e+03 3.032352499889606413e-15 1.187270073126866592e-15
1.158879999999994652e+03 1.998009138182488590e-15 1.064957343126794499e-15
1.158939999999994598e+03 3.017281008738435308e-15 1.173162521453298582e-15
1.158999999999994543e+03 2.006724086400046324e-15 1.059309115279469764e-15
1.159059999999994488e+03 4.097588916803550390e-15 1.281877562299105212e-15
1.159119999999994434e+03 3.452304372513090468e-15 1.214316197532940931e-15
1.159179999999994379e+03 2.617979291143259549e-15 1.129079226693342333e-15
1.159239999999994325e+03 5.689216949808431772e-15 1.414961679084189005e-15
1.159299999999994270e+03 2.711930295167086082e-15 1.113814123120040821e-15
1.159359999999994216e+03 4.051282656685882675e-15 1.256998729839926264e-15
1.159419999999994161e+03 2.869927710521169726e-15 1.142568314690327183e-15
1.159479999999994106e+03 2.853576285375141220e-15 1.137224856234602501e-15
1.159539999999994052e+03 3.086898072531252776e-15 1.155262202576305686e-15
1.159599999999993997e+03 3.940364773349043424e-15 1.243452801401359343e-15
1.159659999999993943e+03 3.915099456827523447e-15 1.241998225272055832e-15
1.159719999999993888e+03 2.855051282533601021e-15 1.145930757632559326e-15
1.159779999999993834e+03 3.199281329547935714e-15 1.172799051723400576e-15
1.159839999999993779e+03 2.839833554260042545e-15 1.132770801285532581e-15
1.159899999999993724e+03 2.565357374398474250e-15 1.107326574123083891e-15
1.159959999999993670e+03 3.481098851295114673e-15 1.205139902943993709e-15
1.160019999999993615e+03 2.249495736126630583e-15 1.047578549099481769e-15
1.160079999999993561e+03 3.315100066391312556e-15 1.173083731436436272e-15
1.160139999999993506e+03 3.455923164099345454e-15 1.203883526281446467e-15
1.160199999999993452e+03 3.872892688384713437e-15 1.236618990476906995e-15
1.160259999999993397e+03 3.367539691543410646e-15 1.189811061576869749e-15
1.160319999999993342e+03 3.791112860646685751e-15 1.226396110584346822e-15
1.160379999999993288e+03 3.235140252516982895e-15 1.160156069274184089e-15
1.160439999999993233e+03 5.525739466179387908e-15 1.366892509326001732e-15
1.160499999999993179e+03 3.185209440364395407e-15 1.148819126081378969e-15
1.160559999999993124e+03 3.311722002182273782e-15 1.172287033737679477e-15
1.160619999999993070e+03 3.270551630742524367e-15 1.166385403235849498e-15
1.160679999999993015e+03 4.250669503653977084e-15 1.270324297487994638e-15
1.160739999999992961e+03 2.823960474461401423e-15 1.111574836517439972e-15
1.160799999999992906e+03 3.312956997499784095e-15 1.161629680034116620e-15
1.160859999999992851e+03 2.976949794649623508e-15 1.142888561657450387e-15
1.160919999999992797e+03 3.034542163133289061e-15 1.153027843561122162e-15
1.160979999999992742e+03 3.607158411953053463e-15 1.206521450895030012e-15
1.161039999999992688e+03 3.614935710881707772e-15 1.195611237986348220e-15
1.161099999999992633e+03 3.079064218736290596e-15 1.139607156823476548e-15
1.161159999999992579e+03 3.234916675021776823e-15 1.169416106966098436e-15
1.161219999999992524e+03 3.666866504927200959e-15 1.215106761896916951e-15
1.161279999999992469e+03 4.030793463787535319e-15 1.248447377306392512e-15
1.161339999999992415e+03 4.187705918322908051e-15 1.267024213886333168e-15
1.161399999999992360e+03 3.859718977844685001e-15 1.238792233957566612e-15
1.161459999999992306e+03 4.366379555558686918e-15 1.289939519871077153e-15
1.161519999999992251e+03 3.656182872455942175e-15 1.220917011257557359e-15
1.161579999999992197e+03 3.424118888283155386e-15 1.190307459645988485e-15
1.161639999999992142e+03 2.568683897475637854e-15 1.118716997525715595e-15
1.161699999999992087e+03 3.332810924721687946e-15 1.203439065726881936e-15
1.161759999999992033e+03 4.170046102633715374e-15 1.288525667737719335e-15
1.161819999999991978e+03 3.522125824497586583e-15 1.225102793664167218e-15
1.161879999999991924e+03 3.365563290173971838e-15 1.197333372187517855e-15
1.161939999999991869e+03 3.037217033056765227e-15 1.160168271851616873e-15
1.161999999999991815e+03 1.737031804864578434e-15 1.005138406319037646e-15
1.162059999999991760e+03 2.274465650269244195e-15 1.073675127330756021e-15
1.162119999999991705e+03 3.236673739799241912e-15 1.171046941867241776e-15
1.162179999999991651e+03 4.301855292121350427e-15 1.270502148846080343e-15
1.162239999999991596e+03 4.818493927330316425e-15 1.312245937746997986e-15
1.162299999999991542e+03 3.502396890962409953e-15 1.194667225388639475e-15
1.162359999999991487e+03 2.395562258859976684e-15 1.059030734318543137e-15
1.162419999999991433e+03 2.556312504515217622e-15 1.090036443682893090e-15
1.162479999999991378e+03 4.490178648899801108e-15 1.282228817129699173e-15
1.162539999999991323e+03 2.871456087906082950e-15 1.118103109566954014e-15
1.162599999999991269e+03 2.028010534929770372e-15 1.009393442913867779e-15
1.162659999999991214e+03 1.870433303253571707e-15 1.007154482248605401e-15
1.162719999999991160e+03 2.322823503990212983e-15 1.051690406694951139e-15
1.162779999999991105e+03 4.175764721110634679e-15 1.250973527232888195e-15
1.162839999999991051e+03 3.183985315916618457e-15 1.152234655601134827e-15
1.162899999999990996e+03 3.881345731370565191e-15 1.210800578651778699e-15
1.162959999999990941e+03 3.924448939855417074e-15 1.212517840096264916e-15
1.163019999999990887e+03 2.854905655272458035e-15 1.092162952086126337e-15
1.163079999999990832e+03 2.980427557603018373e-15 1.107405157615949603e-15
1.163139999999990778e+03 3.769508935837966102e-15 1.194500028196317639e-15
1.163199999999990723e+03 4.411200422212363066e-15 1.677377621912722724e-15
1.163499999999990450e+03 3.314588658797104197e-15 1.120473268776358254e-15
1.163559999999990396e+03 4.663200876317327073e-15 1.280538235415915296e-15
1.163619999999990341e+03 3.410658595325205881e-15 1.171021170466395306e-15
1.163679999999990287e+03 2.618791062298996966e-15 1.076879309915285000e-15
