# obs_wvl flux error
1.667000000000000000e+03 -3.080908355143695850e-15 5.128382436939807661e-15
1.668373374965183302e+03 -1.287602547220696650e-14 4.499228013152283353e-15
1.669746749930366605e+03 -1.572909585867801575e-14 6.026009106690242207e-15
1.671120124895549907e+03 6.647897372005278396e-15 3.789390647272268589e-15
1.672493499860733209e+03 5.008074178224835951e-15 3.500310937543272673e-15
1.673866874825916511e+03 -2.332004853291681815e-15 3.686644011680769483e-15
1.675240249791099814e+03 -4.160944162181337037e-15 3.904092787050467408e-15
1.676613624756283116e+03 3.874939974256204958e-15 3.692643295345308266e-15
1.677986999721466418e+03 -2.544784498010133654e-16 3.229931666020699339e-15
1.679360374686649720e+03 1.948789030261964571e-15 3.140600144767438842e-15
1.680733749651833023e+03 5.279621095703877107e-15 3.150895279028918186e-15
1.682107124617016325e+03 -3.408266244191144180e-15 3.957061039417447779e-15
1.683480499582199627e+03 -8.209061505427327377e-15 3.197720370288818696e-15
1.684853874547382929e+03 -1.715087673758136167e-15 2.518436351663901535e-15
1.686227249512566232e+03 6.743865175943985422e-15 2.497561892432482929e-15
1.687600624477749534e+03 3.440410734411148164e-15 2.665515850496181608e-15
1.688973999442932836e+03 4.593403999261948170e-15 2.858129768158484880e-15
1.690347374408116139e+03 7.754152599137196317e-15 2.457778646586714944e-15
1.691720749373299441e+03 2.572099723751760319e-15 2.284710190625157642e-15
1.693094124338482743e+03 4.901119391340997633e-15 2.431538290149458748e-15
1.694467499303666045e+03 -4.273860712341656548e-15 2.558422982044202601e-15
1.695840874268849348e+03 -2.097193180740078816e-15 2.131959741260867627e-15
1.697214249234032650e+03 -6.629394406121477870e-17 2.262531388393508286e-15
1.698587624199215952e+03 8.014160855003183736e-15 2.210588710692275270e-15
1.699960999164399254e+03 3.746675189416901285e-15 2.877832259430496910e-15
1.701334374129582557e+03 -6.386016659810153515e-16 2.715875744842570819e-15
1.702707749094765859e+03 9.142027371740256002e-15 2.369466371703747159e-15
1.704081124059949161e+03 2.974494711890995320e-15 3.493532437067291399e-15
1.705454499025132463e+03 2.057181005260176827e-15 4.990414679849902366e-15
1.706827873990315766e+03 3.857456015919636785e-15 1.982852248414913635e-15
1.708201248955499068e+03 -3.371476321868435969e-15 1.904811081864348194e-15
1.709574623920682370e+03 1.672729237931943161e-15 2.156020736339482802e-15
1.710947998885865672e+03 1.434491469914892258e-15 1.969481816132995041e-15
1.712321373851048975e+03 1.246289646776553164e-16 1.557561177927169162e-15
1.713694748816232277e+03 4.675941457153830622e-15 1.756007074981050422e-15
1.715068123781415579e+03 1.677465084887419410e-15 2.139016166278601233e-15
1.716441498746598882e+03 -2.849161641917157649e-16 1.707402675640413265e-15
1.717814873711782184e+03 7.556902485943774782e-16 1.587514312665111000e-15
1.719188248676965486e+03 5.182655299760539444e-15 1.739934657532636757e-15
1.720561623642148788e+03 -6.888707870541539384e-14 4.244958680693413959e-15
1.721934998607332091e+03 -9.191629145723396006e-14 4.912960833007350677e-15
1.723308373572515393e+03 5.268367204076827405e-15 1.447407216097847165e-15
1.724681748537698695e+03 6.260761247907550556e-15 1.467034318066459035e-15
1.726055123502881997e+03 5.622023464429227541e-15 1.456011561334929043e-15
1.727428498468065300e+03 6.901040881296313487e-15 1.653123170805355741e-15
