# obs_wvl flux error
2.967000000000000000e+03 7.901217352645258790e-15 1.863247808470201543e-15
2.969746720761332654e+03 6.360189921416842039e-15 1.519153305738995075e-15
2.972493441522665307e+03 7.461980825448575958e-15 1.465507835711506801e-15
2.975240162283997961e+03 1.039662330778689718e-14 1.479801957338642789e-15
2.977986883045330615e+03 1.038404531547112868e-14 1.417395605009059988e-15
2.980733603806663268e+03 9.449159899845141785e-15 1.919965412464967431e-15
2.983480324567995922e+03 9.538382664574440807e-15 1.455343362104792208e-15
2.986227045329328575e+03 9.945899871942908578e-15 1.338254613512786528e-15
2.988973766090661229e+03 9.213157090758861055e-15 1.303866662332434933e-15
2.991720486851993883e+03 7.874908770585846198e-15 1.270904258438929885e-15
2.994467207613326536e+03 8.712091583884185873e-15 1.263058990748013137e-15
2.997213928374659190e+03 9.378367345720351360e-15 1.277855200312078598e-15
2.999960649135991844e+03 6.942578924548180206e-15 1.254098758742158558e-15
3.002707369897324497e+03 8.298162453402774668e-15 1.797614290723658054e-15
3.005454090658657151e+03 7.260427593244413686e-15 1.228836984326323650e-15
3.008200811419989805e+03 8.707821091035235738e-15 1.215415724330779433e-15
3.010947532181322458e+03 9.021047338958544070e-15 1.196800836917011763e-15
3.013694252942655112e+03 6.116431278591039637e-15 1.399122547849974668e-15
3.016440973703987765e+03 5.076770879291587619e-15 1.159250014178814977e-15
3.019187694465320419e+03 5.628054740356471598e-15 1.150922930489880097e-15
3.021934415226653073e+03 6.316460232001168983e-15 1.143354939840234988e-15
3.024681135987985726e+03 7.551968592291819787e-15 1.161927649112905952e-15
3.027427856749318380e+03 7.617844441317078951e-15 1.079427376361374093e-15
3.030174577510651034e+03 6.245150305262055714e-15 1.071975477664852743e-15
3.032921298271983687e+03 7.893497687116814166e-15 1.041487218101925914e-15
3.035668019033316341e+03 6.566994434820506369e-15 1.048991011114750121e-15
3.038414739794648995e+03 9.176145264095139353e-15 1.055062232365632950e-15
