# obs_wvl flux error
2.969000000000000000e+03 1.554942318349035961e-14 2.453476274947525823e-15
2.974493994826073504e+03 2.354509828252707829e-14 1.771715151489145559e-15
2.979987989652147007e+03 1.743771738931228542e-14 1.689888727522473036e-15
2.985481984478220511e+03 2.001517209710872795e-14 1.702126748802798366e-15
2.990975979304294015e+03 1.545245643089787290e-14 1.507281213051276007e-15
2.996469974130367518e+03 1.773994979486596533e-14 1.485045703513154301e-15
3.001963968956441022e+03 1.845675962222610615e-14 1.529343049224400202e-15
3.007457963782514526e+03 1.546987586702647203e-14 1.516978176484606822e-15
3.012951958608588029e+03 2.320473271932721662e-14 1.544055227067669474e-15
3.018445953434661533e+03 1.344392030101884551e-14 1.457806885300482725e-15
3.023939948260735036e+03 1.936620416177955252e-14 1.327614197712551792e-15
3.029433943086808540e+03 1.324818092975405494e-14 1.240766831898713674e-15
3.034927937912882044e+03 1.621461218590489585e-14 1.246359507346086229e-15
3.040421932738955547e+03 1.831510329746823213e-14 1.206020392657392295e-15
3.045915927565029051e+03 1.811575648481152436e-14 1.149895841866876180e-15
3.051409922391102555e+03 2.093004767605238837e-14 1.148531027011267104e-15
3.056903917217176058e+03 2.038519527720957737e-14 1.120126989630567238e-15
3.062397912043249562e+03 2.232987986812614523e-14 1.104808830687800047e-15
3.067891906869323066e+03 2.157397982224647036e-14 1.073197003356261095e-15
3.073385901695396569e+03 2.016636247437787286e-14 1.030391430538685211e-15
3.078879896521470073e+03 2.311964180532531124e-14 1.088333481942823441e-15
3.084373891347543577e+03 2.090178174755502728e-14 1.099219514270313356e-15
3.089867886173617080e+03 2.411434223804433659e-14 1.024094489992980146e-15
3.095361880999690584e+03 2.270859080501585525e-14 9.998081295340355528e-16
3.100855875825764087e+03 2.537350746633664795e-14 1.012236331085645885e-15
3.106349870651837591e+03 2.480385818357044937e-14 1.012599385504436552e-15
3.111843865477911095e+03 2.767066270491119967e-14 1.045983005107579466e-15
3.117337860303984598e+03 2.702675190462347005e-14 1.117027607507740270e-15
3.122831855130058102e+03 2.462474093752820384e-14 9.732722477340533799e-16
3.128325849956131606e+03 2.815003182721911470e-14 1.001333980999894328e-15
3.133819844782205109e+03 2.632922443836780329e-14 9.819610940742154086e-16
3.139313839608278613e+03 2.582400913005115909e-14 1.022546591654346871e-15
