# obs_wvl flux error
2.979000000000000000e+03 1.893681178752798901e-15 5.512320693327155840e-16
2.984492623480169641e+03 -1.208756675362939816e-16 4.013972090552355615e-16
2.989985246960339282e+03 9.596368062854770548e-17 4.675361683824236545e-16
2.995477870440508923e+03 3.499157753290409692e-15 4.038409473822473222e-16
3.000970493920678564e+03 -4.693131851723878470e-16 3.927058795464254185e-16
3.006463117400848205e+03 -9.835413474190294999e-16 3.565841153083713649e-16
3.011955740881017846e+03 -8.437032348084900056e-16 3.656718127943521097e-16
3.017448364361187487e+03 -9.644517558548765354e-16 3.282615625675393599e-16
3.022940987841357128e+03 -3.742827116163202271e-16 3.078731677848540076e-16
3.028433611321526769e+03 4.080729458199698370e-16 3.024786911597605991e-16
3.033926234801696410e+03 -7.401441197170735872e-17 2.909736252283993524e-16
3.039418858281866051e+03 4.080871602158843684e-16 2.849146157558174313e-16
3.044911481762035692e+03 1.371339727949873928e-15 2.703685694431481204e-16
3.050404105242205333e+03 4.665952158985395922e-16 2.585727465812197950e-16
3.055896728722374974e+03 3.923802944566663560e-16 2.512342339933712993e-16
3.061389352202544615e+03 -5.762017882802329843e-16 2.500764870230921719e-16
3.066881975682714256e+03 2.770930896933095050e-15 2.984387981658370546e-16
3.072374599162883896e+03 3.758599601882233115e-16 2.328920066963218782e-16
3.077867222643053537e+03 2.071512222086572006e-16 2.462737450493560908e-16
3.083359846123223178e+03 -1.816927281567313796e-15 2.886195650623184077e-16
3.088852469603392819e+03 1.458202811464830684e-15 2.209979644169325310e-16
3.094345093083562460e+03 1.102037642358217129e-15 2.538018435507900064e-16
3.099837716563732101e+03 8.820381048681965056e-16 2.368490102734273483e-16
3.105330340043901742e+03 -3.493827975342922358e-16 2.197400237678916540e-16
3.110822963524071383e+03 -9.138462894414284254e-16 2.136036364644597957e-16
3.116315587004241024e+03 -4.963885889790150215e-16 2.040837838584421834e-16
3.121808210484410665e+03 7.025852822492376894e-16 2.090581068981010370e-16
3.127300833964580306e+03 -1.020689696968068213e-15 2.201619143133895811e-16
3.132793457444749947e+03 -6.577290403749980632e-16 2.052020694744079457e-16
3.138286080924919588e+03 9.346360504182489825e-16 2.080685893127225419e-16
3.143778704405089229e+03 -1.289161747088612251e-16 1.999212118198159317e-16
3.149271327885258870e+03 9.605004694728792403e-16 1.981055241022219281e-16
3.154763951365428511e+03 3.644216564592110010e-16 2.064943545039324949e-16
3.160256574845598152e+03 6.061510421941391109e-16 1.959475637277169512e-16
3.165749198325767793e+03 -2.441172407895791530e-17 2.017576852847642387e-16
3.171241821805937434e+03 3.745782485878152115e-16 1.838255938905568950e-16
3.176734445286107075e+03 4.431831025005136654e-16 1.918853656918998118e-16
3.182227068766276716e+03 6.539969246665823558e-16 1.871830236023588533e-16
3.187719692246446357e+03 1.270956614633925612e-15 1.812471645843232596e-16
3.193212315726615998e+03 2.157598319295629748e-15 1.834376472883194149e-16
3.198704939206785639e+03 9.876880902881297010e-16 1.752540405818522915e-16
3.204197562686955280e+03 -1.885730272959176632e-16 1.672852873758318767e-16
3.209690186167124921e+03 5.508577688073441224e-16 1.693451418924904196e-16
3.215182809647294562e+03 1.404957954074369526e-16 1.635411201289968391e-16
3.220675433127464203e+03 6.993948132992948060e-16 1.653766894534981354e-16
3.226168056607633844e+03 -1.393805639498840965e-16 1.593659081276603213e-16
3.231660680087803485e+03 8.335597811633370672e-17 1.631400794615155685e-16
3.237153303567973126e+03 -2.060511400560838514e-16 1.563547616937308791e-16
3.242645927048142767e+03 8.927677769080422433e-16 1.573233637817232981e-16
3.248138550528312408e+03 9.512272108545984461e-17 1.545736059685410423e-16
3.253631174008482049e+03 6.459865146511789285e-16 1.552906677471864912e-16
3.259123797488651689e+03 2.345631708520960254e-16 1.518079977473787052e-16
3.264616420968821330e+03 4.628098709836726146e-16 1.528576987639609922e-16
3.270109044448990971e+03 6.189673112091070962e-16 1.511748866489323161e-16
3.275601667929160612e+03 5.924926543542730790e-16 1.500341857153253182e-16
3.281094291409330253e+03 -2.319033321045391698e-16 1.472364730507998382e-16
3.286586914889499894e+03 4.971245783519397459e-17 1.452040872689529961e-16
3.292079538369669535e+03 4.616864399940206948e-16 1.461305248977669785e-16
3.297572161849839176e+03 5.796868032562482539e-16 1.453844419503930358e-16
3.303064785330008817e+03 4.673839546610754689e-16 1.449175714344580779e-16
3.308557408810178458e+03 3.869165668685702519e-16 1.444139023464228838e-16
3.314050032290348099e+03 3.573073013352358043e-16 1.410162363532153093e-16
3.319542655770517740e+03 5.493000931383957997e-16 1.383307421204350256e-16
3.325035279250687381e+03 1.056020739291210463e-15 1.517295151715475324e-16
3.330527902730857022e+03 9.362703808387830380e-16 1.642774420980615845e-16
3.336020526211026663e+03 -3.811157469427261196e-16 1.397716728561681308e-16
3.341513149691196304e+03 4.028766646665417012e-16 1.348077892755860173e-16
3.347005773171365945e+03 3.007301755120412573e-16 1.318667570556495202e-16
3.352498396651535586e+03 1.823890439619523965e-16 1.329513307660901670e-16
3.357991020131705227e+03 -2.142062680780395198e-16 1.475965521262705904e-16
3.363483643611874868e+03 -1.394803102345670446e-16 1.272469391941426484e-16
3.368976267092044509e+03 6.829979545750830596e-16 1.296217639488012331e-16
3.374468890572214150e+03 -1.568393888155655698e-16 1.272303918188633535e-16
3.379961514052383791e+03 1.150643520386417454e-15 1.303954432442148450e-16
3.385454137532553432e+03 1.434770916979376922e-15 1.436356383310883578e-16
3.390946761012723073e+03 -4.690143104366186508e-16 1.299711372120935642e-16
3.396439384492892714e+03 1.173139587157183379e-15 1.321612527896536101e-16
3.401932007973062355e+03 5.049851951755594413e-16 1.229076933502912598e-16
3.407424631453231996e+03 3.715494302971294365e-16 1.247679974469438973e-16
3.412917254933401637e+03 -3.502444027371375477e-16 1.281584592777343893e-16
3.418409878413571278e+03 5.392530147534286910e-16 1.195356388462815702e-16
3.423902501893740919e+03 2.621930432307937622e-16 1.182005965324394631e-16
3.429395125373910560e+03 -6.084749895590814011e-17 1.218490291180469260e-16
3.434887748854080201e+03 3.827716409680849814e-16 1.163616785481244546e-16
3.440380372334249842e+03 -2.142115997615437091e-16 1.176261036728603112e-16
3.445872995814419482e+03 2.077912299344375932e-16 1.151973612886184738e-16
3.451365619294589123e+03 -5.326618428575697684e-16 1.215547284093035323e-16
3.456858242774758764e+03 2.281859697680806152e-16 1.245192598436871229e-16
3.462350866254928405e+03 9.495617911644851750e-16 1.141033877260530984e-16
3.467843489735098046e+03 1.122269540271689490e-15 1.152875804983924963e-16
3.473336113215267687e+03 -1.036872503251543808e-16 1.123428745676436220e-16
3.478828736695437328e+03 8.753871193036581190e-16 1.183813940741069623e-16
3.484321360175606969e+03 7.143449405103611411e-16 1.099097893879895771e-16
3.489813983655776610e+03 9.773312625965358837e-16 1.128038816917669832e-16
3.495306607135946251e+03 5.504245612527094862e-16 1.189409114718489608e-16
3.500799230616115892e+03 1.211128630365502992e-15 1.128111781595153397e-16
3.506291854096285533e+03 7.162160564603188474e-16 1.150653597432436839e-16
3.511784477576455174e+03 -5.161843047314347227e-16 1.097704458388506763e-16
3.517277101056624815e+03 4.780087916968791239e-16 1.114053307238968021e-16
3.522769724536794456e+03 5.664043859207408895e-16 1.076979554932837621e-16
3.528262348016964097e+03 1.984211045293922829e-16 1.050961310943065077e-16
3.533754971497133738e+03 -3.866591307451444669e-17 1.086906974637976271e-16
3.539247594977303379e+03 7.331488785374869574e-17 1.059124751155466901e-16
3.544740218457473020e+03 1.962847454699503160e-16 1.063866676241623161e-16
3.550232841937642661e+03 7.372228784631403469e-16 1.126726869066283171e-16
3.555725465417812302e+03 1.967713037551686684e-16 1.036311266425255276e-16
3.561218088897981943e+03 7.010101884843639006e-17 1.135762622462793041e-16
