# obs_wvl flux error
1.663000000000000000e+03 8.217576875939356908e-15 6.379963477429131303e-15
1.664372943045729016e+03 -2.762213302420063905e-16 4.600348972866976206e-15
1.665745886091458033e+03 1.034711019042349306e-15 4.649071377145321607e-15
1.667118829137187049e+03 6.389260479981466584e-14 4.846407107528383142e-15
1.668491772182916066e+03 7.410865582648117221e-14 4.445333843058760922e-15
1.669864715228645082e+03 -2.272293842081237812e-16 3.443900511182670246e-15
1.671237658274374098e+03 1.542403572786565285e-15 3.344439053158601571e-15
1.672610601320103115e+03 -3.902711242828697079e-15 5.240883982521831477e-15
1.673983544365832131e+03 -6.753954441917969368e-15 6.595584478445980069e-15
1.675356487411561147e+03 3.405178370106490841e-15 3.117257619135424351e-15
1.676729430457290164e+03 -1.986691559168229064e-15 2.927043403990272348e-15
1.678102373503019180e+03 -5.141589506281465969e-15 3.017791009439544985e-15
1.679475316548748197e+03 -6.069018075820241111e-16 2.984308025648892657e-15
1.680848259594477213e+03 2.283027465511459552e-16 2.848692380149365798e-15
1.682221202640206229e+03 1.234862965432307975e-15 3.023775858906725122e-15
1.683594145685935246e+03 -1.670771393733338544e-14 4.794489650013414972e-15
1.684967088731664262e+03 -3.506363474554527851e-14 6.373874358757135026e-15
1.686340031777393278e+03 -9.378939333396123734e-15 4.300854350765215262e-15
1.687712974823122295e+03 -9.156486476067468884e-15 3.228509268353756360e-15
1.689085917868851311e+03 -5.648503302097864721e-15 3.106323956797520581e-15
1.690458860914580328e+03 -1.816225709079945526e-15 3.671402145453341075e-15
1.691831803960309344e+03 3.794860799329421049e-15 2.617233608247195118e-15
1.693204747006038360e+03 6.565489398000280822e-16 2.619907143762046624e-15
1.694577690051767377e+03 9.973318946430577468e-15 2.152373038510610250e-15
1.695950633097496393e+03 1.166955354049351200e-14 2.244044411244132324e-15
1.697323576143225409e+03 -4.122390149345073764e-15 2.419431481950998643e-15
1.698696519188954426e+03 -3.985740274749796894e-15 2.403530043387740105e-15
1.700069462234683442e+03 6.061616244184556811e-15 1.794422903015470458e-15
1.701442405280412459e+03 5.004809886923978291e-15 1.873428366849890313e-15
1.702815348326141475e+03 4.072868116816231340e-15 1.876947620855215836e-15
1.704188291371870491e+03 1.367557145179564070e-15 1.716834654424163570e-15
1.705561234417599508e+03 6.620183417156310265e-16 1.703184067550271399e-15
1.706934177463328524e+03 2.175095565605257270e-15 1.617248964620183974e-15
1.708307120509057540e+03 -8.027208679450824200e-16 1.764085953705205298e-15
1.709680063554786557e+03 -1.651464315217281314e-15 1.964595156881306350e-15
1.711053006600515573e+03 -6.378965056834118662e-15 2.084690893150548538e-15
1.712425949646244590e+03 -6.560026629150180695e-15 2.094881579860496205e-15
1.713798892691973606e+03 2.853599854417849534e-16 1.655958877206586339e-15
1.715171835737702622e+03 1.796899740132598563e-15 1.711879288241523583e-15
1.716544778783431639e+03 3.464373030402465566e-15 1.658673612326572215e-15
1.717917721829160655e+03 3.516630055513672006e-15 1.447018466396281705e-15
1.719290664874889671e+03 1.091344982167574005e-15 1.543240904364405738e-15
1.720663607920618688e+03 6.167796173444037001e-15 3.049367403982459522e-15
1.722036550966347704e+03 5.683724821470865778e-15 3.339870311067353968e-15
1.723409494012076721e+03 6.850495468598866493e-16 1.522646727982296343e-15
1.724782437057805737e+03 8.530010296113046336e-16 1.480968271731179315e-15
1.726155380103534753e+03 -2.572752598210660898e-15 3.132861149314106328e-15
1.727528323149263770e+03 -4.345669945166976097e-15 3.418356833403987239e-15
1.728901266194992786e+03 9.183690812784728885e-16 1.242814121316857955e-15
1.730274209240721802e+03 -2.349924365884499773e-15 1.221795397935634920e-15
1.731647152286450819e+03 2.739275972930588925e-16 1.249106923875310022e-15
1.733020095332179835e+03 1.434415493677906562e-15 1.237602090081795856e-15
1.734393038377908852e+03 1.209637380759348187e-15 1.256156490696305951e-15
1.735765981423637868e+03 2.299182761657170670e-15 1.313043038217144553e-15
1.737138924469366884e+03 4.497936790989820916e-16 1.883854585035152427e-15
1.738511867515095901e+03 -2.514820845811635275e-15 2.847046993381498158e-15
1.739884810560824917e+03 -1.292021982745919772e-15 2.539227787009970304e-15
1.741257753606553933e+03 2.835461190089644883e-15 1.584749968488809703e-15
1.742630696652282950e+03 2.863203436681788178e-15 1.572667628611881309e-15
1.744003639698011966e+03 4.166244131222819774e-16 1.257070158349266454e-15
1.745376582743740983e+03 -1.198065404179501631e-15 1.229071758948198690e-15
1.746749525789469999e+03 -9.992689571789550638e-16 1.407835282029737805e-15
1.748122468835199015e+03 -1.389738044863325050e-16 1.405213471062419503e-15
1.749495411880928032e+03 -8.075615431560502997e-17 1.086094846505213442e-15
1.750868354926657048e+03 1.036391469509820565e-15 1.121346769887681352e-15
1.752241297972386064e+03 4.381548156612457806e-17 1.098296821411593521e-15
1.753614241018115081e+03 -7.218049943637017394e-16 1.119629038560359404e-15
1.754987184063844097e+03 9.079292129029001439e-16 1.120317965706878142e-15
1.756360127109573114e+03 4.228177411615480815e-16 1.155569878133052774e-15
1.757733070155302130e+03 1.132252943233065435e-15 1.194154244859415435e-15
1.759106013201031146e+03 3.879980386065902662e-16 1.189058625689006980e-15
1.760478956246760163e+03 2.383943785106390071e-16 1.109962522874424678e-15
1.761851899292489179e+03 1.688801763181494794e-15 9.901236157387916511e-16
1.763224842338218195e+03 2.177769301199105665e-15 9.818841377229856720e-16
1.764597785383947212e+03 -5.657619067147020085e-17 1.229660801413056367e-15
1.765970728429676228e+03 -2.714816887587390379e-15 1.337222030730520394e-15
1.767343671475405245e+03 -5.988280674724400230e-16 1.099819383597678556e-15
1.768716614521134261e+03 2.293684314727163918e-16 1.394760605846221839e-15
1.770089557566863277e+03 -3.373004477066222906e-16 1.427872371079977435e-15
1.771462500612592294e+03 3.219807143344932226e-15 2.273824529643437149e-15
1.772835443658321310e+03 -4.807979777398212609e-15 3.115275527382705874e-15
1.774208386704050326e+03 -6.020626244607960644e-15 2.225144136311982723e-15
1.775581329749779343e+03 1.215266418088812464e-15 1.124589012633739709e-15
1.776954272795508359e+03 1.035053721134384198e-15 1.081911508766046996e-15
1.778327215841237376e+03 2.531945583935511548e-15 8.831353589205840084e-16
1.779700158886966392e+03 3.056293767818408245e-15 8.779728257306656798e-16
1.781073101932695408e+03 9.509756352454699662e-16 8.691239815241481792e-16
1.782446044978424425e+03 -1.228156665435782572e-15 9.855550285017946709e-16
1.783818988024153441e+03 1.614183846150890158e-16 9.379745415712248562e-16
1.785191931069882457e+03 1.982125767589422213e-15 8.155333760416099126e-16
1.786564874115611474e+03 3.044579292869551350e-16 8.747187224927101123e-16
1.787937817161340490e+03 -1.560914137236031956e-15 9.918141751849865763e-16
1.789310760207069507e+03 -1.340686861032938879e-15 1.198198381403117626e-15
