# obs_wvl flux error
1.667000000000000000e+03 -1.130605032411144751e-14 5.054965118292645731e-15
1.669746745962131627e+03 -1.565750400729394459e-14 5.396808031392671398e-15
1.672493491924263253e+03 -4.446666558931296962e-15 3.088841145516325346e-15
1.675240237886394880e+03 -5.004857048230927727e-14 3.583457926301922266e-15
1.677986983848526506e+03 -5.393145247226868104e-15 2.990149997929589869e-15
1.680733729810658133e+03 -6.486791767533953281e-15 3.067391611711384863e-15
1.683480475772789760e+03 1.188952860217221212e-14 2.982957180826647712e-15
1.686227221734921386e+03 -1.062428569440621149e-15 2.183924993807815502e-15
1.688973967697053013e+03 1.643334344381626756e-15 2.658834797298271878e-15
1.691720713659184639e+03 4.929778403616706075e-16 2.102621207694468823e-15
1.694467459621316266e+03 1.593412507011172414e-15 2.249905707695939139e-15
1.697214205583447892e+03 2.503893683329334868e-15 2.092198682882547247e-15
1.699960951545579519e+03 -3.136364364425077729e-15 2.451276236351783916e-15
1.702707697507711146e+03 2.827314817012882439e-15 2.193484228697433194e-15
1.705454443469842772e+03 -1.481440941723024010e-14 4.212990662441368830e-15
1.708201189431974399e+03 -1.926819025155289042e-15 1.944557585995302086e-15
1.710947935394106025e+03 1.399039434061822964e-15 1.616320661455516688e-15
1.713694681356237652e+03 -2.160375096489026933e-15 1.780704008867331416e-15
1.716441427318369279e+03 2.327520535769211174e-16 1.765561278515364373e-15
1.719188173280500905e+03 1.506032123041373695e-14 2.288101292733615644e-15
1.721934919242632532e+03 -2.068486468126442232e-14 6.006177931510889992e-15
1.724681665204764158e+03 2.099397035399451451e-15 1.290645487451656831e-15
1.727428411166895785e+03 2.350627437346127716e-15 1.594786865647808432e-15
1.730175157129027411e+03 -1.299530596525404879e-15 1.290723990156463923e-15
1.732921903091159038e+03 1.936863295987207239e-15 1.342543485185754540e-15
1.735668649053290665e+03 3.482155645794025342e-15 1.372981603358931065e-15
1.738415395015422291e+03 3.255423635216123719e-16 1.174149881672937500e-15
1.741162140977553918e+03 -2.911732167535958339e-15 1.339012643844818474e-15
1.743908886939685544e+03 1.321520225058234288e-15 1.494369928965541329e-15
1.746655632901817171e+03 -8.764704572136460923e-16 1.217140935283992216e-15
1.749402378863948798e+03 -5.516027986190355003e-15 1.917022028502931888e-15
1.752149124826080424e+03 -1.514399042482193723e-15 1.214166819106826979e-15
1.754895870788212051e+03 -3.636553041546184770e-16 1.410645108771323550e-15
1.757642616750343677e+03 1.531105112459352204e-15 9.764571878353410320e-16
1.760389362712475304e+03 -1.547059228966928346e-15 1.031380917102959049e-15
1.763136108674606930e+03 -1.451012646026453979e-15 9.957179475245470943e-16
1.765882854636738557e+03 3.926588349913237994e-15 1.002745085395321739e-15
1.768629600598870184e+03 8.086860677621891141e-16 9.479253987651177727e-16
1.771376346561001810e+03 -1.056359032094301309e-15 9.562791446935937893e-16
1.774123092523133437e+03 -1.011351435357959657e-16 1.077546271598628210e-15
1.776869838485265063e+03 -5.989993403638042999e-17 7.940025572526007139e-16
1.779616584447396690e+03 -5.129368894880341008e-15 1.514360823689813925e-15
1.782363330409528317e+03 6.957331152769763589e-16 7.775561828533449539e-16
1.785110076371659943e+03 -6.663256601042407848e-15 1.687609297463033142e-15
1.787856822333791570e+03 -2.867174823351770911e-15 8.780526553617886253e-16
1.790603568295923196e+03 -9.751881773498493086e-16 7.589022910081972188e-16
1.793350314258054823e+03 7.848999886953749285e-16 8.196897052897600168e-16
1.796097060220186449e+03 1.308283406988295719e-15 9.345994487720517603e-16
1.798843806182318076e+03 1.229508806465105165e-15 8.524354711622658780e-16
1.801590552144449703e+03 2.927293939628334757e-16 8.887298333430372865e-16
1.804337298106581329e+03 -7.762456450581267591e-16 7.434329433663809801e-16
1.807084044068712956e+03 2.538866575498958271e-16 7.523786635361059411e-16
1.809830790030844582e+03 1.835928048868719614e-15 7.492927703906271448e-16
1.812577535992976209e+03 -3.736645527522435108e-16 7.120208867650339921e-16
1.815324281955107836e+03 -1.781563543665924048e-16 6.679422310512997977e-16
1.818071027917239462e+03 8.770427768125414858e-16 7.535331592524412508e-16
1.820817773879371089e+03 6.441629654498117004e-16 6.189310384428336282e-16
1.823564519841502715e+03 -5.639509182917828023e-16 6.709583487582518421e-16
1.826311265803634342e+03 -8.406026900312701514e-16 9.767486722451004915e-16
1.829058011765765968e+03 2.855960674972843605e-16 6.578039449453661950e-16
