# obs_wvl flux error
1.138000000000000000e+03 -1.755924875731157755e-15 4.404569141612581260e-18
1.138581101170287639e+03 -1.195869956267886684e-15 3.822399713934133645e-16
1.139162202340575277e+03 5.647088922857070612e-15 4.375274061960790946e-15
1.139743303510862916e+03 -2.990525585804548892e-16 6.535668375306945707e-19
1.140324404681150554e+03 -1.496033361620008612e-16 1.119407470555211440e-16
1.140905505851438193e+03 1.692589964501661148e-15 1.336462482088116763e-15
1.141486607021725831e+03 -1.407058572449276235e-16 2.832109202563640238e-19
1.142067708192013470e+03 -1.445498251141880440e-16 3.671769500933299917e-19
1.142648809362301108e+03 -6.722174275085935057e-17 4.396135057971790547e-17
1.143229910532588747e+03 -6.928451389198021076e-17 1.939140587305925718e-19
1.143811011702876385e+03 -5.797318583641839734e-17 1.586591347712340942e-19
1.144392112873164024e+03 -5.717147908095499909e-17 1.025746858149666197e-19
1.144973214043451662e+03 -5.055288497424307022e-17 8.903085989864820511e-20
1.145554315213739301e+03 -4.354190046184866047e-17 7.564309175451493602e-20
1.146135416384026939e+03 -3.782464215987463950e-17 6.373234051522963471e-20
1.146716517554314578e+03 -3.558085167706934245e-17 5.927452820603524074e-20
1.147297618724602216e+03 -2.819964204540086801e-17 6.599160984997315976e-20
1.147878719894889855e+03 -2.659029467547462321e-17 6.044344227590620881e-20
1.148459821065177493e+03 -2.826058254791410073e-17 4.468430651874331803e-20
1.149040922235465132e+03 -2.330574108196792429e-17 5.111690945894314722e-20
1.149622023405752770e+03 2.518471515060497154e-17 5.135337457213447415e-17
1.150203124576040409e+03 9.202515979026824780e-17 1.013765154652271876e-16
1.150784225746328048e+03 -1.938012441994084731e-17 3.996411142574859070e-20
1.151365326916615686e+03 -1.853753151576533685e-17 3.788675788308239653e-20
1.151946428086903325e+03 -1.884725115143996132e-17 2.692989228233326826e-20
1.152527529257190963e+03 -1.820451764387975080e-17 2.584871972850681165e-20
1.153108630427478602e+03 -1.706675769955317344e-17 2.384701487924136559e-20
1.153689731597766240e+03 -1.622353154582609096e-17 2.228657604786339209e-20
1.154270832768053879e+03 -1.461722700511427175e-17 2.707829315673519342e-20
1.154851933938341517e+03 3.155842471371503901e-17 3.728441293285301945e-17
1.155433035108629156e+03 1.087937596343761860e-16 7.491299002306043558e-17
1.156014136278916794e+03 -1.611175695528523636e-17 3.087380809760445195e-20
1.156595237449204433e+03 -1.542432063881000988e-17 4.793085192473465587e-19
1.157176338619492071e+03 -4.036467772634648832e-19 2.452082144748191576e-17
1.157757439789779710e+03 -1.260783465964886357e-17 1.879875552137145279e-18
1.158338540960067348e+03 7.706104495508865531e-17 6.463960614884106088e-17
1.158919642130354987e+03 -1.236407623576212684e-17 2.035403829812020793e-20
1.159500743300642625e+03 2.378299537116387366e-17 2.909641713887593756e-17
1.160081844470930264e+03 -1.293649222088135057e-17 1.206416230575970907e-18
1.160662945641217902e+03 8.306610062454535615e-17 5.830552743617101737e-17
1.161244046811505541e+03 -1.342135915817413503e-17 2.367136183027929709e-20
1.161825147981793179e+03 -1.141136713672077753e-17 1.183939199250922068e-18
1.162406249152080818e+03 7.233493234590120727e-17 5.537895659408133401e-17
1.162987350322368457e+03 -1.127669246703150987e-17 1.078602174182475789e-18
1.163568451492656095e+03 7.903234432247006912e-17 5.677365980056526694e-17
1.164149552662943734e+03 -1.233928651862806274e-17 2.084740203259848378e-20
1.164730653833231372e+03 -1.232338848269734877e-17 3.364945909253854907e-19
1.165311755003519011e+03 6.675694693304297441e-17 4.706356427972241519e-17
1.165892856173806649e+03 6.861162828347170083e-17 4.920627070331818053e-17
1.166473957344094288e+03 -1.164796796765113481e-17 1.114150527476516928e-19
1.167055058514381926e+03 5.202396401653921358e-17 4.522857767165605366e-17
1.167636159684669565e+03 6.197141270072790440e-17 3.490117673126900835e-17
1.168217260854957203e+03 1.447865925184622828e-16 6.985693296150651913e-17
1.168798362025244842e+03 -1.063855775500111003e-17 1.450156008167021739e-20
1.169379463195532480e+03 1.344711504120830207e-17 1.954081473897091583e-17
1.169960564365820119e+03 9.374530576734096670e-17 5.110402834417623541e-17
1.170541665536107757e+03 1.012194413131885824e-16 5.683855908759084595e-17
1.171122766706395396e+03 1.136459730349745950e-17 1.759962931526826350e-17
1.171703867876683034e+03 -1.077930769470483161e-17 4.153607683020482427e-19
1.172284969046970673e+03 -1.076149312731885411e-17 1.623036368129575387e-20
1.172866070217258311e+03 1.088077447139314737e-16 5.562514192975547957e-17
1.173447171387545950e+03 -9.416977854973398377e-18 8.501153977834386752e-19
1.174028272557833589e+03 6.412690281438322967e-17 4.359502654862354623e-17
