# obs_wvl flux error
1.663000000000000000e+03 -1.187404303729186596e-14 1.138062994477127186e-14
1.665745477229065727e+03 9.405704225118212979e-15 7.332389266521009169e-15
1.668490954458131455e+03 -1.394543050494827419e-14 6.774436887283962413e-15
1.671236431687197182e+03 6.164468505888647110e-15 6.394972588687887840e-15
1.673981908916262910e+03 -6.733000830386728212e-15 9.560177699623237164e-15
1.676727386145328637e+03 -3.819135669532822334e-15 6.160787478733146311e-15
1.679472863374394365e+03 -1.286201763726920447e-14 6.946772010159533220e-15
1.682218340603460092e+03 -1.844180524558750323e-14 5.094832540547317548e-15
1.684963817832525820e+03 6.855984014343641593e-15 6.099642783281409071e-15
1.687709295061591547e+03 -3.277156459009094574e-14 1.197904530985246854e-14
1.690454772290657274e+03 -1.928431700694960967e-15 4.189361391688820687e-15
1.693200249519723002e+03 1.727607863006555861e-15 4.106605734316127670e-15
1.695945726748788729e+03 4.774747155412916078e-15 3.825554323675576714e-15
1.698691203977854457e+03 -1.290613852312953564e-14 4.889451959127639987e-15
1.701436681206920184e+03 -2.032090537931954746e-15 3.388652591813045603e-15
1.704182158435985912e+03 5.173821738774930380e-15 3.304525066768999062e-15
1.706927635665051639e+03 1.658071752145600118e-15 3.130745432949210408e-15
1.709673112894117367e+03 -4.498358853981953900e-15 3.284676409192960796e-15
1.712418590123183094e+03 -8.413503467485240128e-15 3.518829398851649400e-15
1.715164067352248821e+03 -1.864512049318635222e-15 2.878588411818972822e-15
1.717909544581314549e+03 -1.080185715984728450e-15 2.970614764776984975e-15
1.720655021810380276e+03 1.429197384563897289e-14 5.327035631274224811e-15
1.723400499039446004e+03 -1.276253030291486104e-15 2.701515841271986663e-15
1.726145976268511731e+03 -1.567556759809808680e-14 4.973249703459035318e-15
1.728891453497577459e+03 -6.813204396764992213e-15 2.495950959887081745e-15
1.731636930726643186e+03 4.188734970953218122e-15 2.926394590992044428e-15
1.734382407955708914e+03 5.766965571626047942e-16 2.422534187317917471e-15
1.737127885184774641e+03 -8.096406987937411049e-15 2.875189315740307119e-15
1.739873362413840368e+03 2.915616524102880625e-15 2.334396694848412125e-15
1.742618839642906096e+03 3.141063227072970675e-15 2.264007036949419682e-15
1.745364316871971823e+03 2.723010428235733557e-16 2.194595614541072482e-15
1.748109794101037551e+03 6.291432931779578125e-16 2.160880719985557918e-15
1.750855271330103278e+03 4.321992635400144336e-15 2.317375402827167674e-15
1.753600748559169006e+03 -4.365482922567309021e-17 2.075581723452269281e-15
1.756346225788234733e+03 -2.949880836295476815e-15 2.139427676402597610e-15
1.759091703017300460e+03 1.076252686930827484e-16 2.023790801144545616e-15
1.761837180246366188e+03 2.378482683011116940e-16 2.075020479617543523e-15
1.764582657475431915e+03 3.586873764922238784e-15 2.118691215091080990e-15
1.767328134704497643e+03 -9.369794186483011599e-17 1.988961458649732439e-15
1.770073611933563370e+03 1.535265938983516770e-15 1.861408521368612808e-15
1.772819089162629098e+03 -2.095275295669980956e-16 1.910810555673729694e-15
1.775564566391694825e+03 9.428767940778610791e-16 2.426800408744884667e-15
1.778310043620760553e+03 2.189701290212585617e-15 1.729488983141864181e-15
1.781055520849826280e+03 -8.783630804145292243e-16 1.663375310982726903e-15
1.783800998078892007e+03 5.280995826730670489e-15 1.779537091535619369e-15
1.786546475307957735e+03 -9.687525802699169853e-16 1.674396265985471898e-15
1.789291952537023462e+03 -1.049704316961440173e-14 3.567771446322440630e-15
1.792037429766089190e+03 -5.269250084810187213e-16 1.698854628946976142e-15
1.794782906995154917e+03 -5.521455059748032002e-15 1.619442951512142032e-15
1.797528384224220645e+03 2.397757874471661320e-15 1.741105753922545160e-15
1.800273861453286372e+03 -1.505879525685241041e-14 2.734183520040230275e-15
1.803019338682352100e+03 2.332550218211942597e-15 1.587796994959974809e-15
1.805764815911417827e+03 3.518661579866183532e-16 1.510445382102203836e-15
1.808510293140483554e+03 7.456468616489391580e-16 1.505654706686460826e-15
1.811255770369549282e+03 2.289580438806091305e-15 1.678499829916720142e-15
1.814001247598615009e+03 -1.838367515442317845e-15 1.367426415537766548e-15
1.816746724827680737e+03 1.279963120085390867e-15 1.405402333867173744e-15
1.819492202056746464e+03 3.568155989752292070e-15 1.412119094924528418e-15
1.822237679285812192e+03 1.308469185692877723e-14 3.812725132653403095e-15
1.824983156514877919e+03 1.849251038099580470e-15 1.321331329893270741e-15
1.827728633743943647e+03 1.085703698156505227e-15 1.326619228485168735e-15
1.830474110973009374e+03 2.670500358593365397e-15 1.411890092954863445e-15
1.833219588202075101e+03 8.075444791565396012e-17 1.232231663950815394e-15
1.835965065431140829e+03 -2.950667109207584497e-15 1.464836994311364961e-15
1.838710542660206556e+03 -1.628062160422451855e-15 1.615967305070196393e-15
1.841456019889272284e+03 -4.767512187623613481e-17 1.200610583944826843e-15
1.844201497118338011e+03 2.288986572057886033e-15 1.206164714896513084e-15
1.846946974347403739e+03 -2.055585284693086220e-16 1.299207100965078619e-15
1.849692451576469466e+03 1.854425546201430873e-15 1.163891133799651949e-15
