# obs_wvl flux error
1.138000000000000000e+03 -6.490329649590231842e-14 4.554916778727856138e-18
1.139166037825672902e+03 -2.708933101328525242e-14 1.625007100176285841e-15
1.140332075651345804e+03 -4.776424699822218717e-15 3.524121272361388786e-15
1.141498113477018705e+03 -5.008864722169290814e-15 1.018077754424383362e-15
1.142664151302691607e+03 -3.248685685172551025e-15 6.203908985410659937e-16
1.143830189128364509e+03 -1.810162597916637024e-15 5.880815977222277289e-16
1.144996226954037411e+03 -1.595883833933724827e-15 2.812722655596900768e-16
1.146162264779710313e+03 -1.315979009482138176e-15 1.423771397668342675e-16
1.147328302605383215e+03 -8.802180674127852993e-16 2.061802821990755507e-16
1.148494340431056116e+03 -8.069128127557140127e-16 1.242267321874894942e-16
1.149660378256729018e+03 -7.938502245473765905e-16 3.124284039188089374e-20
1.150826416082401920e+03 -6.851138925063133456e-16 2.680129996090557982e-20
1.151992453908074822e+03 -5.964045942335971256e-16 2.369967469711563602e-20
1.153158491733747724e+03 -5.246753479656480535e-16 2.037281157707813761e-20
1.154324529559420625e+03 -3.130853412727106901e-16 1.103855241730437909e-16
1.155490567385093527e+03 -3.145477675303675565e-16 7.974910615086825274e-17
1.156656605210766429e+03 -2.168023276377489858e-16 1.320742774577627486e-16
1.157822643036439331e+03 -3.260115068801246092e-16 4.768283693527999231e-17
1.158988680862112233e+03 -1.316414518816996874e-16 1.477868151159960185e-16
1.160154718687785135e+03 -2.004877642675854086e-16 8.042726994438375887e-17
1.161320756513458036e+03 -2.814078422894050175e-16 4.159713294971208598e-17
1.162486794339130938e+03 -1.362907764129127686e-16 1.184843693670280248e-16
1.163652832164803840e+03 -8.537881998808988594e-17 1.290239477550283802e-16
1.164818869990476742e+03 -2.834887937345762585e-16 1.063687231038266846e-20
1.165984907816149644e+03 -1.931741972745578019e-16 8.095346930097524559e-17
1.167150945641822545e+03 -2.238703821738633632e-16 4.220370888966067249e-17
1.168316983467495447e+03 -8.173399806859863320e-17 1.066894511388953281e-16
1.169483021293168349e+03 -1.806884856004829772e-16 7.072821772873358988e-17
1.170649059118841251e+03 -1.751387572880413814e-16 6.824578174204587098e-17
1.171815096944514153e+03 1.076406388683502804e-16 1.532489357472162673e-16
1.172981134770187055e+03 -1.349641852107256663e-16 7.840066334747148911e-17
1.174147172595859956e+03 -1.559352905076943230e-16 6.248086900248320143e-17
1.175313210421532858e+03 -9.067911601719392128e-17 8.534052129543254774e-17
1.176479248247205760e+03 -5.350102125085239024e-17 9.030466509464477659e-17
